authorId,authorUrl,authorName
aut548,3428490,Mark Raasveldt
aut549,3011964,H. Mühleisen
aut550,1666420491,Anamaria Crisan
aut551,1409493802,Brittany Fiore-Gartland
aut552,2441204,Melanie Tory
aut553,1413944992,Aimee Schwab-McCoy
aut554,27492553,C. Baker
aut555,2058680586,Rebecca E. Gasper
aut556,2061800818,Cecilia M. Aragon
aut557,2345714,Shion Guha
aut558,33049547,M. Kogan
aut559,37998480,Gina Neff
aut560,51906013,Cathrine F. Seidelin
aut561,3214594,Katie Shilton
aut562,10835407,A. Tanweer
aut563,47714322,J. Polonsky
aut564,6565832,A. Baidjoe
aut565,5365043,Zhian N. Kamvar
aut566,2120479,A. Cori
aut567,39117790,K. Durski
aut568,47647620,W. Edmunds
aut569,4673329,R. Eggo
aut570,2262177,S. Funk
aut571,143836878,L. Kaiser
aut572,47508912,P. Keating
aut573,4240127,O. Waroux
aut574,1615829619,M. Marks
aut575,46673132,P. Moraga
aut576,145026617,O. Morgan
aut577,2337651,P. Nouvellet
aut578,50272146,R. Ratnayake
aut579,6456015,C. Roberts
aut580,2105830200,J. Whitworth
aut581,2980450,T. Jombart
aut582,2598812,V. Stodden
aut583,49955399,Y. Bao
aut584,49865252,Zhicheng Chen
aut585,46199115,Shiyin Wei
aut586,2115684309,Yang Xu
aut587,48859109,Zhiyi Tang
aut588,None,Hui Li
aut589,1709392,D. Donoho
aut590,40328200,N. Sathi
aut591,3052733,A. Sathi
aut592,2630296,Sean Kross
aut593,33270118,Philip J. Guo
aut594,40237241,Matthias Boehm
aut595,1388063052,I. Antonov
aut596,33641807,Mark Dokter
aut597,1388063044,Robert Ginthoer
aut598,1388063032,Kevin Innerebner
aut599,2083651327,Florijan Klezin
aut600,48965924,Stefanie N. Lindstaedt
aut601,39454224,Arnab Phani
aut602,2053062532,Benjamin Rath
aut603,2027648,J. Saltz
aut604,2065605006,Neil I. Dewar
aut605,2541723,J. Prüfer
aut606,52113800,Patricia Prüfer
aut607,1700173,G. Blair
aut608,144598189,P. Henrys
aut609,20520552,A. Leeson
aut610,49186479,J. Watkins
aut611,11805340,E. Eastoe
aut612,153809986,S. Jarvis
aut613,1922284334,P. Young
aut614,83201140,Kevin M. Mendez
aut615,2313947,L. Pritchard
aut616,4114666,S. Reinke
aut617,49934155,D. Broadhurst
aut618,145262829,Melanie Feinberg
aut619,2055859311,Timothy George
aut620,1685522,S. Jackson
aut621,1688844,Bonnie E. John
aut622,2874726,Mary Beth Kery
aut623,32826718,Henry E. Brady
aut624,65991810,Alexandre Ribas Semeler
aut625,2082407039,A. Pinto
aut626,2085348595,Helen Beatriz Frota Rozados
aut627,51208883,J. McPadden
aut628,48946116,T. Durant
aut629,5328311,Dustin R. Bunch
aut630,38385690,A. Coppi
aut631,144696683,Nathaniel Price
aut632,15671883,Kris Rodgerson
aut633,51219288,C. Torre
aut634,1412757151,William Byron
aut635,2474559,A. Hsiao
aut636,2467795,H. Krumholz
aut637,14677344,W. Schulz
aut638,1403076106,Michelle Wilkerson
aut639,145750440,J. Polman
aut640,2631572,B. Daniel
aut641,152575374,Fábio C. P. Navarro
aut642,1699259,Hussein Mohsen
aut643,34764116,Chengfei Yan
aut644,3291146,Shantao Li
aut645,39345350,Mengting Gu
aut646,41219567,W. Meyerson
aut647,1717018,M. Gerstein
aut648,3277480,F. Archetti
aut649,48697039,Antonio Candelieri
aut650,4603017,Sudarshan A. Shetty
aut651,3294751,L. Lahti
aut652,47628266,F. Creutzig
aut653,9691982,S. Lohrey
aut654,48567420,X. Bai
aut655,144070372,A. Baklanov
aut656,144239097,R. Dawson
aut657,35792812,S. Dhakal
aut658,51297621,W. Lamb
aut659,3681654,T. McPhearson
aut660,70054515,J. Minx
aut661,2061038488,Esteban Muñoz
aut662,2051372542,Brenna Walsh
aut663,39908645,A. Singleton
aut664,1403960481,Daniel Arribas-Bel
aut665,144481328,Yu Ding
aut666,40362338,M. Hernán
aut667,2072740070,J. Hsu
aut668,2411193,B. Healy
aut669,145261717,H. Fröhlich
aut670,46916438,R. Balling
aut671,143998072,O. Kohlbacher
aut672,46574709,Santosh Kumar
aut673,49370597,Thomas Lengauer
aut674,1950729,M. Maathuis
aut675,1732750,Y. Moreau
aut676,144180010,S. Murphy
aut677,1939433,T. Przytycka
aut678,2739468,M. Rebhan
aut679,144927159,H. Röst
aut680,145743805,A. Schuppert
aut681,145780106,M. Schwab
aut682,48692032,R. Spang
aut683,2225948,D. Stekhoven
aut684,49991208,Jimeng Sun
aut685,2068134753,A. Weber
aut686,2119112,D. Ziemek
aut687,1775384,B. Zupan
aut688,3240918,S. Dodge
aut689,1704242,Dirk P. Kroese
aut690,1929279,Z. Botev
aut691,1997850,T. Taimre
aut692,2168267,Radislav Vaisman
aut693,2174853,T. Callahan
aut694,1410832522,Harrison Pielke-Lombardo
aut695,1389536565,Ignacio J. Tripodi
aut696,145720231,L. Hunter
aut697,2525772,A. Danyluk
aut698,38959541,Paul M. Leidig
aut699,144761176,L. Cassel
aut700,3178042,C. Servin
aut701,34814856,R. Peng
aut702,1886238,B. Caffo
aut703,23579626,Ira Gooding
aut704,3209734,S. Virkus
aut705,3047640,E. Garoufallou
aut706,3044529,Leo Liberti
aut707,49028813,L. Taylor
aut708,3473834,Nadezhda Purtova
aut709,48596333,J. Oliver
aut710,72466489,Chris Kollen
aut711,79734689,B. Hickson
aut712,144139288,F. Rios
aut713,144008442,Jonathan Bright
aut714,36838735,B. Ganesh
aut715,1445301871,Thomas M. Vogl
aut716,2107976569,Gary Smith
aut717,1380506031,J. Cordes
aut718,2299251478,Field Cady
aut719,2548167,A. Karpatne
aut720,3119819,G. Atluri
aut721,1986735,James H. Faghmous
aut722,1707756,M. Steinbach
aut723,144205696,A. Banerjee
aut724,143669775,A. Ganguly
aut725,145072875,S. Shekhar
aut726,1726428,N. Samatova
aut727,2107978833,Vipin Kumar
aut728,87122962,Ben Green
aut729,2781539,F. Berman
aut730,1722400,Rob A. Rutenbar
aut731,2341622,B. Hailpern
aut732,2105998204,Henrik Christensen
aut733,49702692,S. Davidson
aut734,153468945,D. Estrin
aut735,101251726,Michael J. Franklin
aut736,1708269,M. Martonosi
aut737,2059337676,Padma Raghavan
aut738,7934073,A. Szalay
aut739,2424441,Andrew L. Ferguson
aut740,3297552,Randal S. Olson
aut741,39248319,Nathan Bartley
aut742,1800213,R. Urbanowicz
aut743,152512193,J. Moore
aut744,3206748,L. Igual
aut745,1816112,S. Seguí
aut746,2288483979,Leo Lahti
aut747,1746961,Tim Kraska
aut748,2288717046,MD L. Nelson Sanchez-Pinto
aut749,2288719392,PhD Yuan Luo
aut750,2288710412,MD Matthew M. Churpek
aut751,2994037,P. Kubben
aut752,1736389,M. Dumontier
aut753,48742163,A. Dekker
aut754,74823287,S. Farley
aut755,123381777,A. Dawson
aut756,6293225,S. Goring
aut757,2111929845,John W. Williams
aut758,2110126297,Keisuke Takahashi
aut759,40445985,Lauren Takahashi
aut760,47328590,Itsuki Miyazato
aut761,2112766906,Yuzuru Tanaka
aut762,1684641,C. Weihs
aut763,2079028,K. Ickstadt
aut764,50469411,R. D. Veaux
aut765,2054506573,Mahesh Agarwal
aut766,71566309,Maia Averett
aut767,3222316,B. Baumer
aut768,144392054,Andrew Bray
aut769,2064193,T. Bressoud
aut770,7822425,Lance Bryant
aut771,2110384621,Lei Cheng
aut772,2064227187,Amanda Francis
aut773,34857486,R. Gould
aut774,21353595,Albert Y. Kim
aut775,9428866,Matt Kretchmar
aut776,2117524113,Qin Lu
aut777,52104314,Ann Moskol
aut778,144336939,D. Nolan
aut779,143935741,Roberto Pelayo
aut780,71154894,Sean Raleigh
aut781,2581042,Ricky J. Sethi
aut782,10192726,Mutiara Sondjaja
aut783,71873559,Neelesh Tiruviluamala
aut784,2316341,P. Uhlig
aut785,2219298,Talitha M. Washington
aut786,17038991,Curtis L. Wesley
aut787,2087047748,David L. White
aut788,2068644280,Ping Ye
aut789,113939582,A. Mikroyannidis
aut790,2073452805,John Domingue
aut791,2029147,Michelle Bachler
aut792,47203696,K. Quick
aut793,143698002,Chang Su
aut794,2075368169,Jie Tong
aut795,143918378,Yongjun Zhu
aut796,143738684,Peng Cui
aut797,39586294,Fei Wang
aut798,145849830,S. Vedula
aut799,145587209,N. Navab
aut800,48307303,R. Kikinis
aut801,2298266,A. Park
aut802,49993325,H. Feußner
aut803,2318564,G. Forestier
aut804,2458527,S. Giannarou
aut805,1756098,M. Hashizume
aut806,2711047,Darko Katic
aut807,2464991,M. Kranzfelder
aut808,2209263,Anand Malpani
aut809,2500824,K. März
aut810,1993663,T. Neumuth
aut811,2075188103,Carla M. Pugh
aut812,2894418,N. Schoch
aut813,2825517,D. Stoyanov
aut814,144041441,Russell H. Taylor
aut815,1678633,Gregory Hager
aut816,1791709,P. Jannin
aut817,1796335,D. Blei
aut818,47811921,Laura Osburn
aut819,144902513,P. Baldi
aut820,3367299,K. McGrail
aut821,34282629,K. Jones
aut822,2406556,A. Akbari
aut823,32082228,T. Bennett
aut824,2165530,A. Boyd
aut825,50191978,F. Carinci
aut826,47449139,Xinjie Cui
aut827,48144767,S. Denaxas
aut828,6031654,N. Dougall
aut829,3343534,D. Ford
aut830,2395144,R. Kirby
aut831,2344111,Hye‐Chung Kum
aut832,145860216,R. Moorin
aut833,47430539,R. Moran
aut834,1393203758,C. O'Keefe
aut835,2254229,D. Preen
aut836,2129237,H. Quan
