ID,name,city
45060859,"4th International Scientific Conference of Alkafeel University, ISCKU 2022",Al-Najaf Al-Ashraf
70494776,"2nd International Conference and Exposition on Mechanical, Material, and Manufacturing Technology, ICE3MT 2022",Hyderabad
13108675,"6th International Conference on Algorithms, Computing and Artificial Intelligence, ACAI 2023",Sanya
41495264,"2021 International Scientific and Practical Conference on Railway Transport and Technologies, RTT 2021",Yekaterinburg
86313296,"2nd International Conference on Emerging Technology Trends in Internet of Things and Computing, TIOTC 2022",Ramadi
31333025,"18th ACM International Symposium on Nanoscale Architectures, NANOARCH 2023",Dresden
99785937,"SAE 2023 Intelligent and Connected Vehicles Symposium, ICVS 2023",Nanchang
14929202,"3rd International Conference on Applied Mathematics, Modeling and Computer Simulation, AMMCS 2023",Wuhan
65930842,"2nd International Conference on Energy and Green Computing, ICEGC 2023",Fez
48704104,"2023 8th International Conference on Advances in Energy and Environment Research and Clean Energy and Energy Storage Technology Forum, ICAEER 2023 and CEEST 2023",Shanghai
78225971,"3rd International Meeting for Applied Geoscience and Energy, IMAGE 2023",Houston
40483175,"2023 SIGGRAPH Asia 2023 Conference Papers, SA 2023",Sydney
57375368,"2023 SIGGRAPH Asia 2023 Conference Papers, SA 2023",Sydney
85666475,"3rd International Meeting for Applied Geoscience and Energy, IMAGE 2023",Houston
12599237,"3rd International Meeting for Applied Geoscience and Energy, IMAGE 2023",Houston
76142187,"2023 SIGGRAPH Asia 2023 Conference Papers, SA 2023",Sydney
29669620,"2023 SIGGRAPH Asia 2023 Conference Papers, SA 2023",Sydney
74518046,"2023 SIGGRAPH Asia 2023 Conference Papers, SA 2023",Sydney
93690958,"2023 SIGGRAPH Asia 2023 Art Papers, SA 2023",Sydney
57969613,"2023 SIGGRAPH Asia 2023 Conference Papers, SA 2023",Sydney
81134331,"2023 SIGGRAPH Asia 2023 Conference Papers, SA 2023",Sydney
11609261,"2023 Rudenko International Conference on Methodological Problems in Reliability Study of Large Energy Systems, RSES 2023",Olkhon isl.
74744297,"3rd International Meeting for Applied Geoscience and Energy, IMAGE 2023",Houston
62442576,"2023 SIGGRAPH Asia 2023 Conference Papers, SA 2023",Sydney
21855368,"27th European Cosmic Ray Symposium, ECRS 2022",Nijmegen
28039464,"12th International Symposium on Information and Communication Technology, SOICT 2023",Ho Chi Minh City
63612112,"5th ACM International Conference on Multimedia in Asia, MMAsia 2023 Workshops","Hybrid, Tainan"
92750347,"1st International Conference on Applied Data Science and Smart Systems, ADSSS 2022",Rajpura
65509933,"5th ACM International Conference on Multimedia in Asia, MMAsia 2023","Hybrid, Tainan"
95162061,"11th Conference on Human-Agent Interaction, HAI 2023",Gothenburg
97328909,"5th ACM International Conference on Multimedia in Asia, MMAsia 2023","Hybrid, Tainan"
97081641,"4th Tarumanagara International Conference of the Applications of Technology and Engineering, TICATE 2021","Virtual, Online"
47381569,"39th Annual Computer Security Applications Conference, ACSAC 2023",Austin
88128780,"8th International Technical Conference on Frontiers of Hydraulic and Civil Engineering Technology, HCET 2023",Wuhan
53718927,"5th ACM International Conference on Multimedia in Asia, MMAsia 2023","Hybrid, Tainan"
68264164,"8th International Technical Conference on Frontiers of Hydraulic and Civil Engineering Technology, HCET 2023",Wuhan
44269918,"18th International Symposium on Parameterized and Exact Computation, IPEC 2023",Amsterdam
71424399,"34th International Symposium on Algorithms and Computation, ISAAC 2023",Kyoto
99129781,"31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering, ESEC/FSE 2023",San Francisco
79336066,"31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering, ESEC/FSE 2023",San Francisco
30749265,"2023 SIGGRAPH Asia 2023 Technical Communications, SA Technical Communications 2023",Sydney
82690890,"22nd ACM Workshop on Hot Topics in Networks, HotNets 2023",Cambridge
26811795,"3rd International Conference on Artificial Intelligence, Big Data and Algorithms, CAIBDA 2023","Hybrid, Zhengzhou"
64727869,"3rd International Conference on Artificial Intelligence, Big Data and Algorithms, CAIBDA 2023","Hybrid, Zhengzhou"
97648972,"31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering, ESEC/FSE 2023",San Francisco
39137232,"2023 Workshop on Decentralized Finance and Security, DeFi 2023",Copenhagen
52432946,"31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering, ESEC/FSE 2023",San Francisco
99635508,"31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering, ESEC/FSE 2023",San Francisco
94987452,"22nd ACM Workshop on Hot Topics in Networks, HotNets 2023",Cambridge
71328068,"11th International ACM SIGIR Conference on Research and Development in Information Retrieval in the Asia Pacific Region, SIGIR-AP 2023",Beijing
11126693,"11th International ACM SIGIR Conference on Research and Development in Information Retrieval in the Asia Pacific Region, SIGIR-AP 2023",Beijing
71872736,"11th International ACM SIGIR Conference on Research and Development in Information Retrieval in the Asia Pacific Region, SIGIR-AP 2023",Beijing
85772167,"1st International Conference on Contemporary Innovations in Mechanical Engineering, CIME 2022",Nandyal City
68980504,"11th International ACM SIGIR Conference on Research and Development in Information Retrieval in the Asia Pacific Region, SIGIR-AP 2023",Beijing
28466403,"11th International ACM SIGIR Conference on Research and Development in Information Retrieval in the Asia Pacific Region, SIGIR-AP 2023",Beijing
39893563,"1st International Conference on Contemporary Innovations in Mechanical Engineering, CIME 2022",Nandyal City
66587138,"2021 International Conference on Emerging Trends in Materials, Computing and Communication Technologies, ICETMCCT 2021",Kanyakumari
72641818,"11th International ACM SIGIR Conference on Research and Development in Information Retrieval in the Asia Pacific Region, SIGIR-AP 2023",Beijing
81858014,"11th International ACM SIGIR Conference on Research and Development in Information Retrieval in the Asia Pacific Region, SIGIR-AP 2023",Beijing
81415182,"10th ACM Workshop on Moving Target Defense, MTD 2023",Copenhagen
48442065,"30th ACM SIGSAC Conference on Computer and Communications Security, CCS 2023",Copenhagen
61484784,"30th ACM SIGSAC Conference on Computer and Communications Security, CCS 2023",Copenhagen
17678820,"30th ACM SIGSAC Conference on Computer and Communications Security, CCS 2023",Copenhagen
69313064,"2023 International Conference on Electronics, Computers and Communication Technology, CECCT 2023",Guilin
59549191,"30th ACM SIGSAC Conference on Computer and Communications Security, CCS 2023",Copenhagen
26517353,"30th ACM SIGSAC Conference on Computer and Communications Security, CCS 2023",Copenhagen
20787768,"30th ACM SIGSAC Conference on Computer and Communications Security, CCS 2023",Copenhagen
45049956,"2023 International Conference on Electronics, Computers and Communication Technology, CECCT 2023",Guilin
98883354,"30th ACM SIGSAC Conference on Computer and Communications Security, CCS 2023",Copenhagen
20402097,"30th ACM SIGSAC Conference on Computer and Communications Security, CCS 2023",Copenhagen
