ID,name,year,edition
190907.0,"2023 Special Interest Group on Computer Graphics and Interactive Techniques Conference, SIGGRAPH 2023",2023,1.0
191433.0,"2023 International Conference on Robotics, Control and Vision Engineering, RCVE 2023",2023,1.0
190952.0,"4th International Conference on Modern Management Based on Big Data, MMBD 2023",2023,1.0
191200.0,"Special Interest Group on Computer Graphics and Interactive Techniques Conference - Posters, SIGGRAPH 2023",2023,1.0
190903.0,"12th International Meeting on Advances in Thermofluids, IMAT 2021",2021,1.0
190756.0,"2023 International Scientific Siberian Transport Forum, TransSiberia 2023",2023,1.0
190882.0,"46th International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR 2023",2023,1.0
190922.0,"2023 ACM Workshop on Highlights of Parallel Computing, HOPC 2023",2023,1.0
193911.0,"6th International Conference on Signal Processing and Machine Learning, SPML 2023",2023,1.0
190701.0,"2023 ACM Designing Interactive Systems Conference, DIS 2023 Companion",2023,1.0
190710.0,"32nd ACM SIGSOFT International Symposium on Software Testing and Analysis, ISSTA 2023",2023,1.0
190597.0,"24th Annual International Conference on Digital Government Research - Together in the Unstable World: Digital Government and Solidarity, DGO 2023",2023,1.0
197353.0,"3rd International Conference on Robotics and Artificial Intelligence, JCRAI 2023",2023,1.0
191640.0,"16th ACM International Conference on PErvasive Technologies Related to Assistive Environments, PETRA 2023",2023,1.0
190532.0,"2nd International Conference on Advances in Communication Technology and Computer Engineering, ICACTCE 2022",2022,1.0
190601.0,"24th ACM Conference on Economics and Computation, EC 2023",2023,1.0
190586.0,"18th ACM ASIA Conference on Computer and Communications Security, ASIA CCS 2023",2023,1.0
190704.0,"29th Annual International Conference on Mobile Computing and Networking, MobiCom 2023",2023,1.0
195861.0,22nd IFAC World Congress,2023,1.0
190790.0,"50th International Colloquium on Automata, Languages, and Programming, ICALP 2023",2023,1.0
190792.0,"38th Computational Complexity Conference, CCC 2023",2023,1.0
