START_ID,END_ID
2-s2.0-85186118924,70697660
2-s2.0-85180916370,36120293
2-s2.0-85180916370,79944049
2-s2.0-85180916370,40171316
2-s2.0-85181237108,80281020
2-s2.0-85181237108,26493316
2-s2.0-85181237108,68223490
2-s2.0-85182101071,66890408
2-s2.0-85182101071,29132948
2-s2.0-85182101071,35846034
2-s2.0-85184517798,25355223
2-s2.0-85184517798,79261983
2-s2.0-85184517798,95361611
2-s2.0-85180532348,55986034
2-s2.0-85180532348,91846307
2-s2.0-85180532348,49067819
2-s2.0-85185292243,99273558
2-s2.0-85185292243,27028776
2-s2.0-85185292243,80031683
2-s2.0-85186118487,60966819
2-s2.0-85186118487,32466091
2-s2.0-85186118487,90682689
2-s2.0-85184142684,95526505
2-s2.0-85184142684,77822711
2-s2.0-85184142684,90529855
2-s2.0-85185269191,94585358
2-s2.0-85185269191,44463782
2-s2.0-85185269191,40944283
2-s2.0-85180500113,43829464
